バージョン,曲名,難易度,レベル,ノーツレーダー属性
7th style,A,NORMAL,8,PEAK
7th style,A,HYPER,11,PEAK
7th style,A,ANOTHER,12,CHORD
Lincle,A MINSTREL ～ ver. short-scape ～,NORMAL,3,PEAK
Lincle,A MINSTREL ～ ver. short-scape ～,HYPER,8,NOTES
Lincle,A MINSTREL ～ ver. short-scape ～,ANOTHER,9,CHORD
Lincle,A MINSTREL ～ ver. short-scape ～,LEGGENDARIA,12,NOTES
Rootage,A Tale Hidden In The Abyss,NORMAL,6,
Rootage,A Tale Hidden In The Abyss,HYPER,9,NOTES
Rootage,A Tale Hidden In The Abyss,ANOTHER,11,NOTES
10th style,A-JAX (3-WAY MIX),NORMAL,4,SCRATCH
10th style,A-JAX (3-WAY MIX),HYPER,8,
10th style,A-JAX (3-WAY MIX),ANOTHER,10,SOF-LAN
IIDX RED,AA,NORMAL,5,PEAK
IIDX RED,AA,HYPER,9,PEAK
IIDX RED,AA,ANOTHER,12,NOTES
CANNON BALLERS,AA -rebuild-,NORMAL,7,PEAK
CANNON BALLERS,AA -rebuild-,HYPER,10,NOTES
CANNON BALLERS,AA -rebuild-,ANOTHER,12,NOTES
CANNON BALLERS,Abraxas,NORMAL,5,PEAK
CANNON BALLERS,Abraxas,HYPER,9,NOTES
CANNON BALLERS,Abraxas,ANOTHER,11,PEAK
4th style,ABSOLUTE,NORMAL,6,NOTES
4th style,ABSOLUTE,HYPER,8,NOTES
4th style,ABSOLUTE,ANOTHER,11,NOTES
4th style,ABSOLUTE,LEGGENDARIA,11,CHARGE
BISTROVER,ABSOLUTE (kors k Remix),NORMAL,5,NOTES
BISTROVER,ABSOLUTE (kors k Remix),HYPER,8,CHARGE
BISTROVER,ABSOLUTE (kors k Remix),ANOTHER,11,CHARGE
CastHour,ABSOLUTE EVIL,NORMAL,6,PEAK
CastHour,ABSOLUTE EVIL,HYPER,10,PEAK
CastHour,ABSOLUTE EVIL,ANOTHER,12,PEAK
5th style,Abyss,NORMAL,7,NOTES
5th style,Abyss,HYPER,8,PEAK
5th style,Abyss,ANOTHER,9,PEAK
9th style,Abyss -The Heavens Remix-,NORMAL,6,PEAK
9th style,Abyss -The Heavens Remix-,HYPER,9,NOTES
9th style,Abyss -The Heavens Remix-,ANOTHER,10,NOTES
9th style,Abyss -The Heavens Remix-,LEGGENDARIA,11,NOTES
CANNON BALLERS,ACCELERATE,NORMAL,5,NOTES
CANNON BALLERS,ACCELERATE,HYPER,8,NOTES
CANNON BALLERS,ACCELERATE,ANOTHER,10,CHORD
copula,Acid Pumper,NORMAL,5,PEAK
copula,Acid Pumper,HYPER,9,PEAK
copula,Acid Pumper,ANOTHER,11,CHARGE
CANNON BALLERS,Acidiva 303,NORMAL,4,
CANNON BALLERS,Acidiva 303,HYPER,7,NOTES
CANNON BALLERS,Acidiva 303,ANOTHER,10,NOTES
9th style,ACT,NORMAL,6,NOTES
9th style,ACT,HYPER,9,NOTES
9th style,ACT,ANOTHER,10,PEAK
EPOLIS,ACT0,NORMAL,6,SCRATCH
EPOLIS,ACT0,HYPER,10,PEAK
EPOLIS,ACT0,ANOTHER,12,NOTES
Pinky Crush,ADAMANT,NORMAL,6,NOTES
Pinky Crush,ADAMANT,HYPER,9,PEAK
Pinky Crush,ADAMANT,ANOTHER,11,CHARGE
SPADA,Adularia,NORMAL,6,PEAK
SPADA,Adularia,HYPER,10,PEAK
SPADA,Adularia,ANOTHER,12,CHARGE
9th style,ADVANCE,NORMAL,5,PEAK
9th style,ADVANCE,HYPER,6,
9th style,ADVANCE,ANOTHER,7,NOTES
HEROIC VERSE,Advent Infamous,NORMAL,5,PEAK
HEROIC VERSE,Advent Infamous,HYPER,8,NOTES
HEROIC VERSE,Advent Infamous,ANOTHER,11,PEAK
Resort Anthem,Aegis,NORMAL,5,PEAK
Resort Anthem,Aegis,HYPER,8,PEAK
Resort Anthem,Aegis,ANOTHER,10,PEAK
INFINITAS,Aerial Skydive,NORMAL,5,
INFINITAS,Aerial Skydive,HYPER,8,NOTES
INFINITAS,Aerial Skydive,ANOTHER,10,NOTES
EPOLIS,Aeterna,NORMAL,4,NOTES
EPOLIS,Aeterna,HYPER,8,NOTES
EPOLIS,Aeterna,ANOTHER,11,CHORD
SINOBUZ,Affection,NORMAL,3,
SINOBUZ,Affection,HYPER,6,
SINOBUZ,Affection,ANOTHER,10,NOTES
PENDUAL,AFRO KNUCKLE,NORMAL,5,PEAK
PENDUAL,AFRO KNUCKLE,HYPER,9,PEAK
PENDUAL,AFRO KNUCKLE,ANOTHER,11,PEAK
Rootage,Afterimage d'automne,NORMAL,6,PEAK
Rootage,Afterimage d'automne,HYPER,9,PEAK
Rootage,Afterimage d'automne,ANOTHER,12,CHARGE
CastHour,Aftermath,NORMAL,6,PEAK
CastHour,Aftermath,HYPER,10,NOTES
CastHour,Aftermath,ANOTHER,12,CHARGE
Rootage,AGAiN,NORMAL,6,NOTES
Rootage,AGAiN,HYPER,8,NOTES
Rootage,AGAiN,ANOTHER,10,NOTES
IIDX RED,AGEHA,NORMAL,5,PEAK
IIDX RED,AGEHA,HYPER,7,PEAK
IIDX RED,AGEHA,ANOTHER,8,PEAK
IIDX RED,AGEHA,LEGGENDARIA,11,PEAK
HAPPY SKY,Agnus Dei,NORMAL,5,SOF-LAN
HAPPY SKY,Agnus Dei,HYPER,8,PEAK
HAPPY SKY,Agnus Dei,ANOTHER,11,SOF-LAN
BISTROVER,Ah Hah Yeah,NORMAL,4,SOF-LAN
BISTROVER,Ah Hah Yeah,HYPER,8,SOF-LAN
BISTROVER,Ah Hah Yeah,ANOTHER,11,PEAK
GOLD,Air Bell,NORMAL,5,PEAK
GOLD,Air Bell,HYPER,7,PEAK
GOLD,Air Bell,ANOTHER,8,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,NORMAL,6,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,HYPER,9,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,ANOTHER,11,NOTES
SIRIUS,AIR RAID FROM THA UNDAGROUND,LEGGENDARIA,12,PEAK
8th style,airflow,NORMAL,3,SOF-LAN
8th style,airflow,HYPER,6,SOF-LAN
8th style,airflow,ANOTHER,7,PEAK
INFINITAS,airflow -dreaming of the sky- Game Edition,NORMAL,4,
INFINITAS,airflow -dreaming of the sky- Game Edition,HYPER,7,SOF-LAN
INFINITAS,airflow -dreaming of the sky- Game Edition,ANOTHER,9,SOF-LAN
HEROIC VERSE,AKASHIC BREAK,NORMAL,7,NOTES
HEROIC VERSE,AKASHIC BREAK,HYPER,10,NOTES
HEROIC VERSE,AKASHIC BREAK,ANOTHER,12,CHORD
SPADA,ALBA -黎明-,NORMAL,4,PEAK
SPADA,ALBA -黎明-,HYPER,8,PEAK
SPADA,ALBA -黎明-,ANOTHER,11,CHORD
Resort Anthem,ALBIDA,NORMAL,6,NOTES
Resort Anthem,ALBIDA,HYPER,9,NOTES
Resort Anthem,ALBIDA,ANOTHER,11,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,NORMAL,6,
DistorteD,ALFARSHEAR 双神威に廻る夢,HYPER,9,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,ANOTHER,10,PEAK
EMPRESS,ALL I NEED YOUR LOVE,NORMAL,6,SCRATCH
EMPRESS,ALL I NEED YOUR LOVE,HYPER,7,
EMPRESS,ALL I NEED YOUR LOVE,ANOTHER,9,PEAK
SPADA,All is Wrecked,NORMAL,5,PEAK
SPADA,All is Wrecked,HYPER,8,NOTES
SPADA,All is Wrecked,ANOTHER,12,NOTES
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,NORMAL,6,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,HYPER,9,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,ANOTHER,11,PEAK
