バージョン,曲名,難易度,レベル,ノーツレーダー属性
7th style,A,NORMAL,6,PEAK
7th style,A,HYPER,10,NOTES
7th style,A,ANOTHER,12,PEAK
Lincle,A MINSTREL ～ ver. short-scape ～,NORMAL,3,PEAK
Lincle,A MINSTREL ～ ver. short-scape ～,HYPER,6,NOTES
Lincle,A MINSTREL ～ ver. short-scape ～,ANOTHER,9,CHORD
Lincle,A MINSTREL ～ ver. short-scape ～,LEGGENDARIA,12,CHORD
Rootage,A Tale Hidden In The Abyss,NORMAL,6,NOTES
Rootage,A Tale Hidden In The Abyss,HYPER,9,NOTES
Rootage,A Tale Hidden In The Abyss,ANOTHER,11,NOTES
10th style,A-JAX (3-WAY MIX),NORMAL,4,SCRATCH
10th style,A-JAX (3-WAY MIX),HYPER,8,SOF-LAN
10th style,A-JAX (3-WAY MIX),ANOTHER,10,SOF-LAN
IIDX RED,AA,NORMAL,5,PEAK
IIDX RED,AA,HYPER,10,NOTES
IIDX RED,AA,ANOTHER,12,NOTES
CANNON BALLERS,AA -rebuild-,NORMAL,7,NOTES
CANNON BALLERS,AA -rebuild-,HYPER,10,NOTES
CANNON BALLERS,AA -rebuild-,ANOTHER,12,NOTES
CANNON BALLERS,Abraxas,NORMAL,5,PEAK
CANNON BALLERS,Abraxas,HYPER,9,NOTES
CANNON BALLERS,Abraxas,ANOTHER,11,PEAK
4th style,ABSOLUTE,NORMAL,6,NOTES
4th style,ABSOLUTE,HYPER,8,NOTES
4th style,ABSOLUTE,ANOTHER,10,NOTES
4th style,ABSOLUTE,LEGGENDARIA,11,CHARGE
BISTROVER,ABSOLUTE (kors k Remix),NORMAL,5,NOTES
BISTROVER,ABSOLUTE (kors k Remix),HYPER,8,
BISTROVER,ABSOLUTE (kors k Remix),ANOTHER,11,CHARGE
CastHour,ABSOLUTE EVIL,BEGINNER,1,SCRATCH
CastHour,ABSOLUTE EVIL,NORMAL,6,PEAK
CastHour,ABSOLUTE EVIL,HYPER,10,CHARGE
CastHour,ABSOLUTE EVIL,ANOTHER,12,CHARGE
5th style,Abyss,NORMAL,5,NOTES
5th style,Abyss,HYPER,7,NOTES
5th style,Abyss,ANOTHER,8,NOTES
9th style,Abyss -The Heavens Remix-,BEGINNER,3,NOTES
9th style,Abyss -The Heavens Remix-,NORMAL,7,NOTES
9th style,Abyss -The Heavens Remix-,HYPER,10,PEAK
9th style,Abyss -The Heavens Remix-,ANOTHER,10,NOTES
9th style,Abyss -The Heavens Remix-,LEGGENDARIA,11,NOTES
CANNON BALLERS,ACCELERATE,NORMAL,6,NOTES
CANNON BALLERS,ACCELERATE,HYPER,8,NOTES
CANNON BALLERS,ACCELERATE,ANOTHER,10,NOTES
copula,Acid Pumper,NORMAL,4,PEAK
copula,Acid Pumper,HYPER,9,CHARGE
copula,Acid Pumper,ANOTHER,11,CHARGE
CANNON BALLERS,Acidiva 303,NORMAL,4,NOTES
CANNON BALLERS,Acidiva 303,HYPER,7,NOTES
CANNON BALLERS,Acidiva 303,ANOTHER,10,NOTES
9th style,ACT,NORMAL,6,PEAK
9th style,ACT,HYPER,9,NOTES
9th style,ACT,ANOTHER,9,NOTES
EPOLIS,ACT0,NORMAL,6,NOTES
EPOLIS,ACT0,HYPER,10,NOTES
EPOLIS,ACT0,ANOTHER,12,NOTES
Pinky Crush,ADAMANT,NORMAL,6,NOTES
Pinky Crush,ADAMANT,HYPER,9,NOTES
Pinky Crush,ADAMANT,ANOTHER,11,CHARGE
SPADA,Adularia,NORMAL,6,PEAK
SPADA,Adularia,HYPER,10,NOTES
SPADA,Adularia,ANOTHER,12,CHARGE
9th style,ADVANCE,NORMAL,4,
9th style,ADVANCE,HYPER,6,NOTES
9th style,ADVANCE,ANOTHER,7,PEAK
HEROIC VERSE,Advent Infamous,NORMAL,5,PEAK
HEROIC VERSE,Advent Infamous,HYPER,8,NOTES
HEROIC VERSE,Advent Infamous,ANOTHER,11,NOTES
Resort Anthem,Aegis,NORMAL,6,SCRATCH
Resort Anthem,Aegis,HYPER,8,SCRATCH
Resort Anthem,Aegis,ANOTHER,11,NOTES
INFINITAS,Aerial Skydive,NORMAL,5,NOTES
INFINITAS,Aerial Skydive,HYPER,8,NOTES
INFINITAS,Aerial Skydive,ANOTHER,10,NOTES
EPOLIS,Aeterna,NORMAL,4,NOTES
EPOLIS,Aeterna,HYPER,8,NOTES
EPOLIS,Aeterna,ANOTHER,10,CHORD
SINOBUZ,Affection,NORMAL,3,NOTES
SINOBUZ,Affection,HYPER,6,
SINOBUZ,Affection,ANOTHER,10,NOTES
PENDUAL,AFRO KNUCKLE,NORMAL,5,PEAK
PENDUAL,AFRO KNUCKLE,HYPER,8,PEAK
PENDUAL,AFRO KNUCKLE,ANOTHER,11,PEAK
Rootage,Afterimage d'automne,NORMAL,6,PEAK
Rootage,Afterimage d'automne,HYPER,9,PEAK
Rootage,Afterimage d'automne,ANOTHER,11,NOTES
CastHour,Aftermath,NORMAL,6,PEAK
CastHour,Aftermath,HYPER,10,NOTES
CastHour,Aftermath,ANOTHER,12,CHARGE
Rootage,AGAiN,NORMAL,5,NOTES
Rootage,AGAiN,HYPER,8,
Rootage,AGAiN,ANOTHER,10,NOTES
IIDX RED,AGEHA,BEGINNER,3,PEAK
IIDX RED,AGEHA,NORMAL,5,PEAK
IIDX RED,AGEHA,HYPER,8,PEAK
IIDX RED,AGEHA,ANOTHER,9,PEAK
IIDX RED,AGEHA,LEGGENDARIA,11,CHORD
HAPPY SKY,Agnus Dei,NORMAL,5,SOF-LAN
HAPPY SKY,Agnus Dei,HYPER,9,SOF-LAN
HAPPY SKY,Agnus Dei,ANOTHER,10,SOF-LAN
BISTROVER,Ah Hah Yeah,NORMAL,4,SOF-LAN
BISTROVER,Ah Hah Yeah,HYPER,8,SOF-LAN
BISTROVER,Ah Hah Yeah,ANOTHER,11,SOF-LAN
GOLD,Air Bell,NORMAL,5,PEAK
GOLD,Air Bell,HYPER,6,NOTES
GOLD,Air Bell,ANOTHER,8,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,BEGINNER,3,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,NORMAL,7,
SIRIUS,AIR RAID FROM THA UNDAGROUND,HYPER,9,NOTES
SIRIUS,AIR RAID FROM THA UNDAGROUND,ANOTHER,11,NOTES
SIRIUS,AIR RAID FROM THA UNDAGROUND,LEGGENDARIA,12,PEAK
8th style,airflow,NORMAL,3,SOF-LAN
8th style,airflow,HYPER,5,SOF-LAN
8th style,airflow,ANOTHER,7,PEAK
INFINITAS,airflow -dreaming of the sky- Game Edition,NORMAL,3,SOF-LAN
INFINITAS,airflow -dreaming of the sky- Game Edition,HYPER,7,SOF-LAN
INFINITAS,airflow -dreaming of the sky- Game Edition,ANOTHER,9,SOF-LAN
HEROIC VERSE,AKASHIC BREAK,NORMAL,6,NOTES
HEROIC VERSE,AKASHIC BREAK,HYPER,10,NOTES
HEROIC VERSE,AKASHIC BREAK,ANOTHER,12,CHORD
SPADA,ALBA -黎明-,NORMAL,5,PEAK
SPADA,ALBA -黎明-,HYPER,8,NOTES
SPADA,ALBA -黎明-,ANOTHER,11,CHORD
Resort Anthem,ALBIDA,BEGINNER,3,PEAK
Resort Anthem,ALBIDA,NORMAL,6,
Resort Anthem,ALBIDA,HYPER,10,NOTES
Resort Anthem,ALBIDA,ANOTHER,12,CHORD
DistorteD,ALFARSHEAR 双神威に廻る夢,BEGINNER,2,PEAK
DistorteD,ALFARSHEAR 双神威に廻る夢,NORMAL,5,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,HYPER,7,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,ANOTHER,10,PEAK
EMPRESS,ALL I NEED YOUR LOVE,NORMAL,5,SCRATCH
EMPRESS,ALL I NEED YOUR LOVE,HYPER,7,PEAK
EMPRESS,ALL I NEED YOUR LOVE,ANOTHER,9,PEAK
SPADA,All is Wrecked,NORMAL,5,
SPADA,All is Wrecked,HYPER,8,
SPADA,All is Wrecked,ANOTHER,11,NOTES
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,NORMAL,6,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,HYPER,9,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,ANOTHER,11,PEAK
INFINITAS,ALL OK!!,NORMAL,6,
INFINITAS,ALL OK!!,HYPER,10,PEAK
INFINITAS,ALL OK!!,ANOTHER,12,NOTES
8th style,ALL RIGHT,NORMAL,4,NOTES
8th style,ALL RIGHT,HYPER,8,
8th style,ALL RIGHT,ANOTHER,9,PEAK
HAPPY SKY,alla turca con passione,NORMAL,5,NOTES
HAPPY SKY,alla turca con passione,HYPER,8,NOTES
HAPPY SKY,alla turca con passione,ANOTHER,10,PEAK
Lincle,Almace,NORMAL,4,NOTES
Lincle,Almace,HYPER,8,NOTES
Lincle,Almace,ANOTHER,10,CHARGE
SIRIUS,Almagest,NORMAL,7,NOTES
SIRIUS,Almagest,HYPER,11,CHARGE
SIRIUS,Almagest,ANOTHER,12,CHARGE
CANNON BALLERS,Alpheratz,NORMAL,2,NOTES
CANNON BALLERS,Alpheratz,HYPER,5,PEAK
CANNON BALLERS,Alpheratz,ANOTHER,9,NOTES
CastHour,ALTERNATOR,NORMAL,7,PEAK
CastHour,ALTERNATOR,HYPER,10,CHORD
